mem,quant,batch,prefill,Simulator,Decode_TPS,Prefill_TPS
16H+64C,int4,1,50,FlexGen,0.192541,1.794
16H+64C,int4,1,50,LIA,0.525218,1.793
16H+64C,int4,1,50,LLMFlash,1.3224,0.3
16H+64C,int4,1,50,SemSched,0.747146,24.18
16H+64C,int4,1,500,FlexGen,0.19252,17.944
16H+64C,int4,1,500,LIA,0.525218,17.934
16H+64C,int4,1,500,LLMFlash,1.3229,0.3
16H+64C,int4,1,500,SemSched,0.747146,157.33
16H+64C,int4,1,2000,FlexGen,0.19245,71.775
16H+64C,int4,1,2000,LIA,0.525218,71.736
16H+64C,int4,1,2000,LLMFlash,1.3229,0.3
16H+64C,int4,1,2000,SemSched,0.747146,593.71
16H+64C,int4,1,4000,FlexGen,0.192357,143.55
16H+64C,int4,1,4000,LIA,0.525218,143.472
16H+64C,int4,1,4000,LLMFlash,1.3229,0.3
16H+64C,int4,1,4000,SemSched,0.747146,1176.5
16H+64C,int4,16,50,FlexGen,3.079725,1.794
16H+64C,int4,16,50,LIA,8.403482,1.793
16H+64C,int4,16,50,LLMFlash,13.0123,4.1
16H+64C,int4,16,50,SemSched,10.428049,24.18
16H+64C,int4,16,500,FlexGen,3.074346,17.944
16H+64C,int4,16,500,LIA,8.403482,17.934
16H+64C,int4,16,500,LLMFlash,13.0548,4.1
16H+64C,int4,16,500,SemSched,10.428049,157.33
16H+64C,int4,16,2000,FlexGen,3.056549,71.775
16H+64C,int4,16,2000,LIA,8.403482,71.736
16H+64C,int4,16,2000,LLMFlash,13.0583,4.1
16H+64C,int4,16,2000,SemSched,10.428049,593.71
16H+64C,int4,16,4000,FlexGen,3.033138,143.55
16H+64C,int4,16,4000,LIA,8.403482,143.472
16H+64C,int4,16,4000,LLMFlash,13.0589,4.1
16H+64C,int4,16,4000,SemSched,10.428049,1176.5
16H+64C,int4,128,50,FlexGen,24.582149,1.794
16H+64C,int4,128,50,LIA,67.227859,1.793
16H+64C,int4,128,50,LLMFlash,88.6523,33.0
16H+64C,int4,128,50,SemSched,83.405923,24.18
16H+64C,int4,128,500,FlexGen,24.243542,17.944
16H+64C,int4,128,500,LIA,67.227859,17.934
16H+64C,int4,128,500,LLMFlash,90.6624,33.0
16H+64C,int4,128,500,SemSched,83.405923,157.33
16H+64C,int4,128,2000,FlexGen,23.179266,71.775
16H+64C,int4,128,2000,LIA,67.227859,71.736
16H+64C,int4,128,2000,LLMFlash,90.8334,33.0
16H+64C,int4,128,2000,SemSched,60.56253,593.71
16H+64C,int4,128,4000,FlexGen,21.494274,143.55
16H+64C,int4,128,4000,LIA,67.227859,143.472
16H+64C,int4,128,4000,LLMFlash,90.8625,33.0
16H+64C,int4,128,4000,SemSched,43.676452,1176.5
32H+32C,fp32,1,50,FlexGen,0.017508,0.853
32H+32C,fp32,1,50,LIA,0.017674,0.859
32H+32C,fp32,1,50,LLMFlash,0.0645,0.0
32H+32C,fp32,1,50,SemSched,0.043021,4.4
32H+32C,fp32,1,500,FlexGen,0.017505,8.53
32H+32C,fp32,1,500,LIA,0.017674,8.587
32H+32C,fp32,1,500,LLMFlash,0.0645,0.0
32H+32C,fp32,1,500,SemSched,0.043019,38.46
32H+32C,fp32,1,2000,FlexGen,0.017497,34.121
32H+32C,fp32,1,2000,LIA,0.017674,34.35
32H+32C,fp32,1,2000,LLMFlash,0.0645,0.0
32H+32C,fp32,1,2000,SemSched,0.043012,151.82
32H+32C,fp32,1,4000,FlexGen,0.017486,68.242
32H+32C,fp32,1,4000,LIA,0.017674,68.7
32H+32C,fp32,1,4000,LLMFlash,0.0645,0.0
32H+32C,fp32,1,4000,SemSched,0.043003,302.98
32H+32C,fp32,16,50,FlexGen,0.280017,0.853
32H+32C,fp32,16,50,LIA,0.282779,0.859
32H+32C,fp32,16,50,LLMFlash,0.5393,0.5
32H+32C,fp32,16,50,SemSched,0.661528,4.4
32H+32C,fp32,16,500,FlexGen,0.279399,8.53
32H+32C,fp32,16,500,LIA,0.282779,8.587
32H+32C,fp32,16,500,LLMFlash,0.5398,0.5
32H+32C,fp32,16,500,SemSched,0.661046,38.46
32H+32C,fp32,16,2000,FlexGen,0.277357,34.121
32H+32C,fp32,16,2000,LIA,0.282779,34.35
32H+32C,fp32,16,2000,LLMFlash,0.5399,0.5
32H+32C,fp32,16,2000,SemSched,0.659446,151.82
32H+32C,fp32,16,4000,FlexGen,0.27468,68.242
32H+32C,fp32,16,4000,LIA,0.282779,68.7
32H+32C,fp32,16,4000,LLMFlash,0.5399,0.5
32H+32C,fp32,16,4000,SemSched,0.655056,302.98
32H+32C,fp32,128,50,FlexGen,2.233792,0.853
32H+32C,fp32,128,50,LIA,2.262234,0.859
32H+32C,fp32,128,50,LLMFlash,4.0784,4.0
32H+32C,fp32,128,50,SemSched,5.285453,4.4
32H+32C,fp32,128,500,FlexGen,2.195032,8.53
32H+32C,fp32,128,500,LIA,2.262234,8.587
32H+32C,fp32,128,500,LLMFlash,4.112,4.0
32H+32C,fp32,128,500,SemSched,5.23626,38.46
32H+32C,fp32,128,2000,FlexGen,2.075015,34.121
32H+32C,fp32,128,2000,LIA,2.262234,34.35
32H+32C,fp32,128,2000,LLMFlash,4.1148,4.0
32H+32C,fp32,128,2000,SemSched,4.485684,151.82
32H+32C,fp32,128,4000,FlexGen,1.934021,68.242
32H+32C,fp32,128,4000,LIA,2.262234,68.7
32H+32C,fp32,128,4000,LLMFlash,4.1153,4.0
32H+32C,fp32,128,4000,SemSched,3.892327,302.98
32H+32C,fp16,1,50,FlexGen,0.039608,1.665
32H+32C,fp16,1,50,LIA,0.03915,1.653
32H+32C,fp16,1,50,LLMFlash,0.2053,0.1
32H+32C,fp16,1,50,SemSched,0.102356,9.12
32H+32C,fp16,1,500,FlexGen,0.039602,16.651
32H+32C,fp16,1,500,LIA,0.03915,16.531
32H+32C,fp16,1,500,LLMFlash,0.2053,0.1
32H+32C,fp16,1,500,SemSched,0.102341,70.36
32H+32C,fp16,1,2000,FlexGen,0.039069,66.531
