Experiment,Model,Simulator,Quant,MemConfig,BatchSize,TPS,Prefill_TPS,Cold_Load_s,Read_Op_Pct,Write_Op_Pct,Write_Util_Pct,Write_Stall_Time_s,Write_Stall_Pct,Write_Stall_Count,Write_Stall_Freq_Pct,Per_Token_Stall_Min_Pct,Per_Token_Stall_Max_Pct,Per_Token_Stall_Mean_Pct,Token_Time_s,Stall_Pct_of_Token
Memory,72,LLMFlash,fp16,32GB_Host+64GB_CXL,128,13.8938,0.1,0.0,99.969,0.031,0.0,0.001465,0.0159,0.0,0.0,0.0159,0.0159,0.0159,0.0,0.0
Memory,72,CXLAimPod,fp16,32GB_Host+64GB_CXL,128,9.024853,4.523,0.0,99.9945,0.0055,0.0,0.001634,0.0115,0.0,0.0,0.0115,0.0115,0.0115,0.0,0.0
Memory,72,SemSched,fp16,32GB_Host+64GB_CXL,128,20.212767,4.9,0.0,99.9998,0.0002,0.0258,0.001062,0.0168,832.0,0.0,0.016742,0.016807,0.0167745,0.0,0.0
Memory,72,FlexGen,int8,16GB_Host+32GB_CXL,128,9.910177,4.526,0.0,99.9998,0.0002,0.0,0.000562,0.0044,80.0,0.0,0.0044,0.0044,0.0044,0.0,0.0
Memory,72,LIA,int8,16GB_Host+32GB_CXL,128,12.966804,4.517,0.0,99.9998,0.0002,0.0,0.000562,0.0057,0.0,0.0,0.0057,0.0057,0.0057,0.0,0.0
Memory,72,LLMFlash,int8,16GB_Host+32GB_CXL,128,27.7876,0.1,0.0,99.969,0.031,0.0,0.000733,0.0159,0.0,0.0,0.0159,0.0159,0.0159,0.0,0.0
Memory,72,CXLAimPod,int8,16GB_Host+32GB_CXL,128,18.049706,4.526,0.0,99.9945,0.0055,0.0,0.000817,0.0115,0.0,0.0,0.0115,0.0115,0.0115,0.0,0.0
Memory,72,SemSched,int8,16GB_Host+32GB_CXL,128,40.425375,4.59,0.0,99.9998,0.0002,0.0258,0.000531,0.0168,832.0,0.0,0.016742,0.016807,0.016774375,0.0,0.0
Memory,72,FlexGen,int8,16GB_Host+64GB_CXL,128,9.910177,4.526,0.0,99.9998,0.0002,0.0,0.000562,0.0044,80.0,0.0,0.0044,0.0044,0.0044,0.0,0.0
Memory,72,LIA,int8,16GB_Host+64GB_CXL,128,30.305592,4.517,0.0,99.9998,0.0002,0.0,0.000562,0.0133,0.0,0.0,0.0133,0.0133,0.0133,0.0,0.0
Memory,72,LLMFlash,int8,16GB_Host+64GB_CXL,128,49.2766,0.1,0.0,99.9659,0.0341,0.0,0.000773,0.0298,0.0,0.0,0.0297,0.0298,0.02975625,0.0,0.0
Memory,72,CXLAimPod,int8,16GB_Host+64GB_CXL,128,40.399356,4.526,0.0,99.9945,0.0055,0.0,0.000817,0.0258,0.0,0.0,0.0257,0.0258,0.0257875,0.0,0.0
Memory,72,SemSched,int8,16GB_Host+64GB_CXL,128,40.425375,4.59,0.0,99.9998,0.0002,0.0258,0.000531,0.0168,832.0,0.0,0.016742,0.016807,0.016774375,0.0,0.0
Memory,72,FlexGen,int8,32GB_Host+32GB_CXL,128,12.882561,4.526,0.0,99.9998,0.0002,0.0,0.000562,0.0057,80.0,0.0,0.0057,0.0057,0.0057,0.0,0.0
Memory,72,LIA,int8,32GB_Host+32GB_CXL,128,12.966804,4.517,0.0,99.9998,0.0002,0.0,0.000562,0.0057,0.0,0.0,0.0057,0.0057,0.0057,0.0,0.0
Memory,72,LLMFlash,int8,32GB_Host+32GB_CXL,128,43.5465,0.1,0.0,99.9669,0.0331,0.0,0.000686,0.0234,0.0,0.0,0.0233,0.0234,0.023356250000000002,0.0,0.0
Memory,72,CXLAimPod,int8,32GB_Host+32GB_CXL,128,31.363886,4.526,0.0,99.9945,0.0055,0.0,0.000817,0.02,0.0,0.0,0.02,0.02,0.02,0.0,0.0
Memory,72,SemSched,int8,32GB_Host+32GB_CXL,128,43.252769,4.6,0.0,99.9998,0.0002,0.0276,0.000817,0.0276,1280.0,0.0,0.027555,0.027669,0.0276116875,0.0,0.0
Memory,72,FlexGen,int8,32GB_Host+64GB_CXL,128,12.882561,4.526,0.0,99.9998,0.0002,0.0,0.000562,0.0057,80.0,0.0,0.0057,0.0057,0.0057,0.0,0.0
Memory,72,LIA,int8,32GB_Host+64GB_CXL,128,30.305592,4.517,0.0,99.9998,0.0002,0.0,0.000562,0.0133,0.0,0.0,0.0133,0.0133,0.0133,0.0,0.0
Memory,72,LLMFlash,int8,32GB_Host+64GB_CXL,128,51.9438,0.1,0.0,99.9659,0.0341,0.0,0.000733,0.0297,0.0,0.0,0.0297,0.0298,0.02973125,0.0,0.0
Memory,72,CXLAimPod,int8,32GB_Host+64GB_CXL,128,43.285155,4.526,0.0,99.9945,0.0055,0.0,0.000817,0.0276,0.0,0.0,0.0276,0.0277,0.0276375,0.0,0.0
Memory,72,SemSched,int8,32GB_Host+64GB_CXL,128,43.252769,4.6,0.0,99.9998,0.0002,0.0276,0.000817,0.0276,1280.0,0.0,0.027555,0.027669,0.0276116875,0.0,0.0
Memory,72,FlexGen,int4,16GB_Host+32GB_CXL,128,25.76506,4.528,0.0,99.9998,0.0002,0.0,0.000289,0.0058,80.0,0.0,0.0058,0.0058,0.0058,0.0,0.0
Memory,72,LIA,int4,16GB_Host+32GB_CXL,128,60.611176,4.523,0.0,99.9998,0.0002,0.0,0.000289,0.0137,0.0,0.0,0.0137,0.0137,0.0137,0.0,0.0
Memory,72,LLMFlash,int4,16GB_Host+32GB_CXL,128,103.8854,0.3,0.0,99.9659,0.0341,0.0,0.000392,0.0318,0.0,0.0,0.0318,0.0319,0.03183125,0.0,0.0
